en_curid,name,numlangs,birthcity,birthstate,countryCode,countryCode3,LAT,LON,continentName,birthyear,gender,occupation,industry,domain,TotalPageViews,L_star,StdDevPageViews,PageViewsEnglish,PageViewsNonEnglish,AverageViews,HPI,country,birth,industry_,gender_,occupation_,domain_,lat_,lon_,birthyear_,hpi_,x,y,continent
307,Abraham Lincoln,131,Hodgenville,KY,US,USA,37.571111,-85.73861099999998,North America,1809,Male,Politician,Government,Institutions,66145211,5.801386687000001,586914.7220000001,41477236,24667975,504925.2748,27.93858549,United States,"Hodgenville, United States (1809)",10,1,66,4,0.7759600518725245,0.2532766178552895,0.9643960036330608,0.816625406776093,0.4423213,0.24959567,North America
308,Aristotle,152,Stageira,,GR,GRC,40.333333,23.5,Europe,-384,Male,Philosopher,Philosophy,Humanities,56355172,11.91459682,201067.4607,15745351,40609821,370757.7105,31.99379508,Greece,"Stageira, Greece (384 BC)",23,1,59,3,0.7950002292978271,0.5625431549654498,0.5660308810172571,1.0,0.13922289,0.6977941999999999,Europe
339,Ayn Rand,55,Saint Petersburg,,RU,RUS,59.95,30.3,Europe,1905,Female,Writer,Language,Humanities,14208218,3.175684852,87632.4902,11023490,3184728,258331.2364,24.32593556,Russia,"Saint Petersburg, Russia (1905)",14,0,87,3,0.930219201622672,0.5817947037822787,0.9818346957311536,0.6532631448087339,0.7738344,0.47611856,Europe
595,Andre Agassi,69,Las Vegas,NV,US,USA,36.12151400000001,-115.173851,North America,1970,Male,Tennis Player,Individual Sports,Sports,11244030,6.2425245239999985,85553.3181,6353888,4890142,162956.9565,20.92599929,United States,"Las Vegas, United States (1970)",12,1,85,7,0.7659678846697485,0.1699422120030723,0.9936421435059036,0.4995196904541448,0.90458703,0.2794202,North America
628,Aldous Huxley,62,Godalming,,GB,GBR,51.185,-0.61,Europe,1894,Male,Writer,Language,Humanities,9268920,6.219842057999999,33037.03209,5137256,4131664,149498.7097,25.99660548,United Kingdom,"Godalming, United Kingdom (1894)",14,1,87,3,0.8698014817099433,0.4942850899693106,0.9798365122615804,0.728810021040948,0.27653497,0.58441305,Europe
676,Andrei Tarkovsky,51,Zavrazhye,,RU,RUS,60.0,100.0,Europe,1932,Male,Film Director,Film And Theatre,Arts,4004103,9.298781801,14987.96969,1808634,2195469,78511.82353,25.24470117,Russia,"Zavrazhye, Russia (1932)",8,1,36,0,0.9305638549022652,0.7791230791547756,0.986739327883742,0.6948092760906599,0.64695454,0.8577789000000001,Europe
700,Arthur Schopenhauer,79,Gdańsk,,PL,POL,54.35,18.633333,Europe,1788,Male,Philosopher,Philosophy,Humanities,11622780,12.66621467,61718.81469,2743101,8879679,147123.7975,27.7760199,Poland,"Gdańsk, Poland (1788)",23,1,59,3,0.8916180343082076,0.5487650847704865,0.9605812897366032,0.8092742703485292,0.2208688,0.66594726,Europe
736,Albert Einstein,166,Ulm,,DE,DEU,48.4,9.983333,Europe,1879,Male,Physicist,Natural Sciences,Science & Technology,89771090,11.50120142,342755.955,34276454,55494636,540789.6988,30.21061426,Germany,"Ulm, Germany (1879)",21,1,62,6,0.8506042940365892,0.5242759822314319,0.9771117166212532,0.9193654359275244,0.54697204,0.49379483,Europe
783,Alexander the Great,138,Pella,,GR,GRC,40.8,22.516667,Europe,-356,Male,Military Personnel,Military,Institutions,48358148,11.18240645,153675.9172,19942587,28415561,350421.3623,31.58395203,Greece,"Pella, Greece (356 BC)",19,1,53,4,0.7982169955383875,0.5597592309577,0.5711171662125339,0.9814670978376248,0.09915903,0.40948048,Europe
808,Alfred Hitchcock,100,Leytonstone,,GB,GBR,51.569,0.01,Europe,1899,Male,Film Director,Film And Theatre,Arts,23216701,8.349060938,164426.3051,10496279,12720422,232167.01,27.17598213,United Kingdom,"Leytonstone, United Kingdom (1899)",8,1,36,0,0.8724484188972208,0.4960403782437862,0.9807447774750226,0.7821408560204353,0.67529577,0.8446019,Europe
841,Attila the Hun,83,Hajdúböszörmény,,HU,HUN,47.0,20.0,Europe,406,Male,Politician,Government,Institutions,11123103,13.97581312,59842.86906000001,2971786,8151317,134013.2892,29.24332716,Hungary,"Hajdúböszörmény, Hungary (406)",10,1,66,4,0.8409540022079731,0.5526342695450229,0.7095367847411443,0.8756251866120177,0.49521935,0.82828057,Europe
851,Alfred Nobel,109,Stockholm,,SE,SWE,59.329444,18.068611,Europe,1833,Male,Chemist,Natural Sciences,Science & Technology,11998627,13.78529862,79776.41047999999,4360758,7637869,110079.1468,27.64615987,Sweden,"Stockholm, Sweden (1833)",21,1,16,6,0.9259416684112444,0.547166294601231,0.9687556766575841,0.8034020633395459,0.6016421999999999,0.5920899000000001,Europe
852,Alexander Graham Bell,94,Edinburgh,,GB,GBR,55.953056,-3.188889,Europe,1847,Male,Inventor,Invention,Science & Technology,18989520,8.199693285,157392.1342,9443685,9545835,202016.1702,26.92276279,United Kingdom,"Edinburgh, United Kingdom (1847)",13,1,44,6,0.902668004463646,0.4869839712227395,0.9712988192552224,0.7706904013797107,0.33283007,0.9310229,Europe
